Date,Open,High,Low,Close,Adj Close,Volume
2020-04-29,8759.25,9041,8733.75,8719.75,8719.75,417522
2020-04-30,9109.5,9144.75,8875.75,9036.5,9036.5,448803
2020-05-01,8847,8879,8672,8988.5,8988.5,403881
2020-05-03,8624,8642.25,8562,8579.5,8579.5,955357
2020-05-04,8624,8828,8556.25,8718,8718,376472
2020-05-05,8843.5,9020,8822.25,8956,8956,138527264
2020-05-06,8929.25,9056.5,8916,8961.25,8961.25,160386979
2020-05-07,9022.75,9137.5,9004,9117,9117,150146947
2020-05-08,9208,9238,9119,9222.5,9222.5,147616823
2020-05-10,9194.75,9257.25,9174.75,9249,9249,673663
2020-05-11,9274.25,9339,9118.5,9271.75,9271.75,164856701
2020-05-12,9253.25,9341.25,9008,9012.75,9012.75,182119666
2020-05-13,9086.5,9202.75,8878.25,9015.75,9015.75,252786223
2020-05-14,9000.25,9107.5,8847,9099.75,9099.75,241955317
2020-05-15,9095.5,9148.5,8925.5,9117.5,9117.5,201546625
2020-05-17,9135,9179,9110.25,9171.75,9171.75,596131
2020-05-18,9195.5,9361.5,9175,9332,9332,158602322
2020-05-19,9313.25,9417.25,9273,9317.25,9317.25,155396633
2020-05-20,9343.25,9503.25,9322,9483.75,9483.75,139781919
2020-05-21,9444.25,9510.75,9348.25,9397.75,9397.75,156958095
2020-05-22,9301,9422.5,9241.5,9421.5,9421.5,159733330
2020-05-24,9448,9457.5,9438.75,9456,9456,253197
2020-05-26,9396.25,9604,9373,9406.25,9406.25,479921
2020-05-27,9409,9508,9172.5,9406.5,9406.5,551146
2020-05-28,9436.5,9565.5,9320.5,9432.5,9432.5,503291
2020-05-29,9453.5,9590.5,9372,9460.25,9460.25,521370
2020-05-31,9513,9524.5,9450.25,9498,9498,952938
2020-06-01,9513,9605.75,9450.25,9560.25,9560.25,341298
2020-06-02,9590,9670,9504.75,9595,9595,382727
2020-06-03,9657.5,9728.25,9635.5,9647.75,9647.75,368931
2020-06-04,9685.5,9742.5,9572.25,9684.75,9684.75,455186
2020-06-05,9643.5,9846.25,9601.75,9626.25,9626.25,504537
2020-06-07,9819,9875,9808.25,9871.25,9871.25,576941
2020-06-08,9819,9901,9747,9808.5,9808.5,386188
2020-06-09,9887.25,10005.2002,9811.5,9884.75,9884.75,434224
2020-06-10,9960,10155.5,9958.5,9951,9951,548969
2020-06-11,10086.2002,10107,9584.5,10087.2002,10087.2002,817403
2020-06-12,9616,9849.25,9494.75,9616.75,9616.75,504541
2020-06-14,9536.75,9585,9505,9563,9563,644044
2020-06-15,9527,9798,9368.25,9632.25,9632.25,420446
2020-06-16,9799.75,10001.79981,9786.5,9788.5,9788.5,594126
2020-06-17,9951.5,10047.5,9915.25,9961.5,9961.5,402049
2020-06-18,9982.25,10029,9866.5,9983,9983,427163
2020-06-19,9985,10112.5,9916,9983,9983,506386
2020-06-21,9868,9905.75,9843.5,9899.25,9899.25,893949
2020-06-22,9868,10131.79981,9843.5,9923.5,9923.5,349509
2020-06-23,10121.5,10296.2002,9972.25,10124.79981,10124.79981,401853
2020-06-24,10183,10242,9927.25,10196,10196,653896
2020-06-25,10005.2002,10107,9885.5,10010.79981,10010.79981,506541
2020-06-26,10087,10120.5,9824.25,10088.2002,10088.2002,568235
2020-06-28,9785.5,9839.5,9780.25,9835.25,9835.25,740788
2020-06-29,9785.5,9976.75,9728.75,9865.5,9865.5,469861
2020-06-30,9983,10171.5,9940.25,9973.75,9973.75,413942
2020-07-01,10141,10310,10076,10147.2002,10147.2002,395987
2020-07-02,10258.5,10422.2002,10246.5,10268.79981,10268.79981,397372
2020-07-05,10347.25,10398,10326,10395.75,10395.75,451570
2020-07-06,10347.2002,10614.5,10341.5,10355.79981,10355.79981,410127
2020-07-07,10600,10694.5,10505.79981,10598.5,10598.5,458171
2020-07-08,10526,10665,10505.2002,10532.2002,10532.2002,472764
2020-07-09,10674.2002,10774.2002,10560,10662.2002,10662.2002,598515
2020-07-10,10727,10842.79981,10625.5,10727.5,10727.5,519436
2020-07-12,10848.25,10909.5,10847.75,10886.75,10886.75,884254
2020-07-13,10848.2002,11058.5,10561.5,10837.2002,10837.2002,722927
2020-07-14,10627,10739.5,10358.75,10709,10709,339252779
2020-07-15,10676.75,10766.5,10551.25,10647,10647,254817882
2020-07-16,10595.5,10646,10478.5,10563.5,10563.5,229845799
2020-07-17,10592.75,10669.75,10537.5,10622.5,10622.5,162830527
2020-07-19,10621.25,10657,10613.25,10647,10647,538404
2020-07-20,10589.25,10973.75,10546.25,10948.5,10948.5,187673825
2020-07-21,11012.75,11058,10784.75,10878.25,10878.25,210033997
2020-07-22,10895.5,10899.25,10761.25,10831.75,10831.75,185375526
